Trading name,Owner's name,Current address,GPhC registration number,Status
118 Pharmacy,118 Pharmacy Ltd,"9 High Street, Walsall Wood, WALSALL, WS9 9LR, UK",1112046,Registered
3Q Pharmacy,KRG Healthcare Limited,"3 Queen Street, WELLINGBOROUGH, Northamptonshire, NN8 4RW, UK",1105385,Registered
4 Court Ltd,4 Court Limited,"5 Whinney Lane, BLACKBURN, BB2 7BX, UK",1125725,Registered
4 Court Pharmacy,4 Court Limited,"Blackburn Service Station, Whalley Banks, BLACKBURN, Lancashire, BB2 1NT, UK",1093283,Registered
4Court Pharmacy,4Court Healthcare Limited,"Heybrook Service Station, Halifax Road, ROCHDALE, Lancashire, OL16 2LH, UK",1106237,Registered
7 Day Chemist,Mistvale Ltd,"175 Bellegrove Road, WELLING, Kent, DA16 3QS, UK",1033016,Registered
7-11 Pharmacy,7-11 Ltd,"84B Berners Street, LEICESTER, Leicestershire, LE2 0FS, UK",1100687,Registered
8 PM Chemist,8PM Chemists Ltd,"First Floor, 61 Wolverhampton Street, WILLENHALL, West Midlands, WV13 2NF, UK",1099447,Registered
8pm Chemist,8PM Chemists Ltd,"61 Wolverhampton Street, WILLENHALL, West Midlands, WV13 2NF, UK",1038572,Registered
A & A Gilbride Ltd,A & A Gilbride Ltd,"275 Main Street, High Blantyre, GLASGOW, Lanarkshire, G72 0DL, UK",1042414,Registered
A & A Gilbride Ltd.,A & A Gilbride Ltd,"170 Carmyle Avenue, Carmyle, GLASGOW, Lanarkshire, G32 8EE, UK",1042312,Registered
A & J M Sheppard Limited,Avicenna Retail Ltd,"5 - 7 John Street, Abercwmboi, ABERDARE, Mid Glamorgan, CF44 6BL, UK",1089890,Registered
A & J M Sheppard Limited,Avicenna Retail Ltd,"Medical Centre, Penrhiwceiber Road, PENRHIWCEIBER, Mid Glamorgan, CF45 3SP, UK",1089955,Registered
A & J M Sheppard Limited,Avicenna Retail Ltd,"29 -31 Margaret Street, Abercynon, MOUNTAIN ASH, Mid Glamorgan, CF45 4RE, UK",1091489,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"12 Commercial Street, Tynant, Beddau, PONTYPRIDD, Mid Glamorgan, CF38 2DB, UK",1091507,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"65-66 High Street, FERNDALE, Mid Glamorgan, CF43 4RR, UK",1091688,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"Unit 2, Broadlands Retail Centre, Gentle Way, BRIDGEND, Mid Glamorgan, CF31 5EJ, UK",1091932,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"44 Gelligaled Road, Ystrad, PENTRE, Mid Glamorgan, CF41 7RQ, UK",1109996,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"White Rose Way, NEW TREDEGAR, Gwent, NP24 6AS, UK",1121407,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"17 Bridge Street, PONTYPRIDD, Mid Glamorgan, CF37 4PE, UK",1114145,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"The Pharmacy, Forest View Medical Centre, Abergorki Industrial Estate, TREORCHY, Mid Glamorgan, CF42 6DL, UK",1117308,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"Coychurch Road, Pencoed, BRIDGEND, Mid Glamorgan, CF35 5NH, UK",1120590,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"217-218 Cardiff Road, ABERDARE, Mid Glamorgan, CF44 6RG, UK",1091132,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"Goodwick Square, Goodwick, FISHGUARD, Dyfed, SA64 0BP, UK",1043251,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"2-3 Constitutional Buildings, Canon Street, ABERDARE, Mid Glamorgan, CF44 7AW, UK",1043471,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"50 Commercial Street, Aberbargoed, BARGOED, Mid Glamorgan, CF81 9BU, UK",1043479,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"1 Bridge Street, Kenfig Hill, BRIDGEND, Mid Glamorgan, CF33 6DB, UK",1043491,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"56 Llangewydd Road, Cefn Glas Estate, BRIDGEND, Mid Glamorgan, CF31 4JR, UK",1043508,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"30 Penybont Road, Pencoed, BRIDGEND, Mid Glamorgan, CF35 5RA, UK",1043517,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"Troed-y-Bryn Pharmacy, Heol-Aneurin, Penyrheol, CAERPHILLY, Mid Glamorgan, CF83 2PX, UK",1043537,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"Pleasant View, Ferndale Road, Tylorstown, FERNDALE, Mid Glamorgan, CF43 3HB, UK",1043547,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"68 High Street, FERNDALE, Mid Glamorgan, CF43 4RR, UK",1043548,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"Park View, North Terrace, Maerdy, FERNDALE, Mid Glamorgan, CF43 4DD, UK",1043550,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"9 Ynysmeurig Road, Abercynon, MOUNTAIN ASH, Mid Glamorgan, CF45 4SY, UK",1043579,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"59 Oxford Street, MOUNTAIN ASH, Mid Glamorgan, CF45 3HD, UK",1043574,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"1 Porth Street, Rhowdda, PORTH, Mid Glamorgan, CF39 9RN, UK",1043618,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"227 Parc Road, Cwmparc, TREORCHY, Mid Glamorgan, CF42 6LD, UK",1043633,Registered
A & J M Sheppard Ltd,Avicenna Retail Ltd,"14-16 Commercial Street, Nelson, TREHARRIS, Mid Glamorgan, CF46 6NF, UK",1043644,Registered
A & JM Sheppard Limited,Avicenna Retail Ltd,"102 - 103 Ynyshir Road, Ynyshir, PORTH, Mid Glamorgan, CF39 0EW, UK",1043620,Registered
A & JM Sheppard Ltd,Avicenna Retail Ltd,"1 Ty-Isaf, Llanharry, PONTYCLUN, Mid Glamorgan, CF72 9LJ, UK",1043610,Registered
A A Beggs,Paydens Ltd,"32 Pencester Road, DOVER, Kent, CT16 1BW, UK",1032729,Registered
A A Hagan Ltd,A A Hagan Ltd,"119-121 Grieve Road, GREENOCK, Renfrewshire, PA16 7AW, UK",1109031,Registered
A N Patel Pharmacy,Mill Road Pharmacy Limited,"181 Mill Road, KETTERING, Northamptonshire, NN16 0RH, UK",1035429,Registered
A Nima Pharmacy,Anna Healthcare Ltd,"50 Friars Stile Road, RICHMOND, Surrey, TW10 6NQ, UK",1036710,Registered
A Procter & Son Ltd.,"Procter & Son Ltd., A.","63 High Street, HEATHFIELD, East Sussex, TN21 8HU, UK",1036203,Registered
A Procter & Son Ltd.,"Procter & Son Ltd., A.","Station Road, HEATHFIELD, East Sussex, TN21 8LD, UK",1036204,Registered
A Procter & Son Ltd.,"Procter & Son Ltd., A.","69 High Street, POLEGATE, East Sussex, BN26 6AH, UK",1036255,Registered
A Williams,Anne Williams,"22 Cowbridge Road, PONTYCLUN, Mid Glamorgan, CF72 9EE, UK",1043604,Registered
A. & J.M. Sheppard Ltd,Avicenna Retail Ltd,"15 Llwynypia Road, TONYPANDY, Mid Glamorgan, CF40 2EL, UK",1043640,Registered
A. & J.M. Sheppard Ltd,Avicenna Retail Ltd,"35 Dyffryn Road, Rhydyfelin, PONTYPRIDD, Mid Glamorgan, CF37 5RW, UK",1043592,Registered
A. & J.M. Sheppard Ltd,Avicenna Retail Ltd,"62A High Street, Cefn Coed, MERTHYR TYDFIL, Mid Glamorgan, CF48 2PL, UK",1043563,Registered
A. & J.M. Sheppard Ltd,Avicenna Retail Ltd,"4 Mill Street, Trecynon, ABERDARE, Mid Glamorgan, CF44 8NA, UK",1043475,Registered
A. & J.M. Sheppard Ltd,Avicenna Retail Ltd,"22-25 Whitcombe Street, ABERDARE, Mid Glamorgan, CF44 7AU, UK",1043478,Registered
A.A. Pharmacy,Tinij Ltd,"98 Whitmore Way, BASILDON, Essex, SS14 3JT, UK",1031030,Registered
A.C. Curd (Isleworth) Ltd,A C Curd (Isleworth) Ltd,"55 South Street, ISLEWORTH, Middlesex, TW7 7AA, UK",1035045,Registered
A.C. Moule & Co,A.C. Moule Limited,"55 Parliament Road, MIDDLESBROUGH, Cleveland, TS1 4JW, UK",1029962,Registered
A.D. & I.A. Gohil,A.D. & I.A. Gohil,"Milford Pharmacy, Portsmouth Road, Milford, GODALMING, Surrey, GU8 5DR, UK",1036592,Registered
A.D. Phillips,Phillips Chemists Limited,"21a Church Road, Trimdon Village, TRIMDON STATION, County Durham, TS29 6PY, UK",1029498,Registered
A.E. Hobbs Ltd.,"Hobbs Ltd., A.E.","72 Mount Pleasant, TUNBRIDGE WELLS, Kent, TN1 1RJ, UK",1033007,Registered
A.F. Browne Ltd.,A F Browne Ltd,"174 Eynsham Drive, Abbey Wood, LONDON, SE2 9PT, UK",1040746,Registered
A.F.Norman Chemists Ltd.,A. F. Norman Chemists Ltd.,"55 Senhouse Street, MARYPORT, Cumbria, CA15 6BL, UK",1030221,Registered
A.H. Hale Ltd.,A H Hale Ltd,"The Bathwick Pharmacy, 8 Argyle Street, Laura Place, BATH, Avon, BA2 4BQ, UK",1028531,Registered
